country,gdp_pc_pp,pop,urbanization_rate,prepare_scaleup,borrow_abi,avg_prod_k,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,fa_glofris,protection,tau_tax,macro_multiplier,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,9960.94073,2897366.00000,0.57407,0.00000,0.17500,0.18528,3,0.20000,1.50000,0.06000,0.80000,0.05000,0.07368,1.00000,0.19585,1.11835,98.37405,285025636.15005,0.00000,6.10625,0.00000,0.44540,49804.70363,98.37405,110.01638,110.01638,98.37405,0.00000,0.00481,5.00000,0.00000,0.00000,268807.79028,3.39034,0.00000,1.02493,2.10600,2.10600,142.55657,413038552.09311,0.01431,0.69007,0.00988
Angola,7488.01176,21471618.00000,0.44050,0.00000,0.17500,0.43240,3,0.20000,1.50000,0.06000,0.80000,0.05000,0.01703,1.00000,0.12567,1.35179,11.16415,239712448.14735,0.00000,17.42190,0.00000,0.89687,37440.05880,11.16415,15.09160,15.09160,11.16415,0.00000,0.00154,5.00000,0.00000,0.00000,86587.15251,3.39753,0.00000,0.64707,3.10000,3.10000,35.77273,768098313.44352,0.00478,0.31209,0.00149
Argentina,18087.19626,41446246.00000,0.91751,0.73333,0.37500,0.26955,3,0.20000,1.50000,0.06000,0.80000,0.05000,0.07206,1.00000,0.15106,1.19795,79.59947,3299099367.89740,0.00000,35.13644,1.32154,0.24585,90435.98131,79.59947,95.35650,95.35650,79.59947,0.00000,0.00309,5.00000,1.32154,1.32154,335507.86150,3.39529,3.20000,0.79533,2.28902,1.99602,140.31489,5815525578.59024,0.00776,0.56729,0.00440
Armenia,7526.83642,2976566.00000,0.62673,0.40000,0.42500,0.36670,3,0.20000,1.50000,0.06000,0.80000,0.05000,0.03800,1.00000,0.26962,1.28972,54.76500,163011623.96117,0.00000,5.18989,0.54774,0.05147,37634.18210,54.76500,70.63175,70.63175,54.76500,0.00000,0.01131,5.00000,0.54774,0.54774,102630.54603,3.38101,1.60000,1.49311,1.25000,1.17000,77.47041,230595786.76392,0.01029,0.70692,0.00728
Australia,42834.01676,23129300.00000,0.89423,0.80000,0.91667,0.27360,3,0.20000,1.50000,0.06000,0.80000,0.05000,0.04109,1.00000,0.22516,1.20178,86.89803,2009890600.05680,0.00000,4.61120,2.52887,3.26203,214170.08380,86.89803,104.43253,104.43253,86.89803,0.00000,0.00129,5.00000,2.52887,2.52887,782778.55367,3.39810,4.00000,1.40820,2.85440,2.39770,120.19615,2780052746.72475,0.00281,0.72297,0.00203
Austria,44056.25442,8479823.00000,0.65968,0.80000,0.89167,0.23228,3,0.20000,1.50000,0.06000,0.80000,0.05000,0.07922,1.00000,0.47308,1.16275,104.23148,883864460.15954,0.00000,1.92430,9.43293,2.70964,220281.27208,104.23148,121.19466,121.19466,104.23148,0.00000,0.00235,5.00000,9.43293,9.43293,948349.73886,3.39665,4.00000,2.42079,1.52800,1.28352,142.73603,1210376307.96001,0.00324,0.73024,0.00237
Azerbaijan,16593.18876,9416801.00000,0.54620,0.00000,0.25000,0.59822,3,0.20000,1.50000,0.06000,0.80000,0.05000,0.05713,1.00000,0.42821,1.50844,43.91381,413527646.93202,0.00000,4.62444,0.00000,0.09987,82965.94380,43.91381,66.24128,66.24128,43.91381,0.00000,0.00664,5.00000,0.00000,0.00000,138687.71662,3.38683,0.00000,2.41821,1.25000,1.25000,71.42401,672585734.51444,0.00430,0.61483,0.00265
Bangladesh,2853.44774,156594962.00000,0.34277,0.73333,0.61667,0.28971,3,0.20000,1.50000,0.06000,0.80000,0.05000,0.22001,1.00000,0.07341,1.21700,64.82574,10151384418.77901,0.00001,1488.36231,3.29524,0.87490,14267.23870,64.82574,78.89278,78.89278,64.82574,0.00001,0.01763,5.00000,3.29524,3.29524,49246.80714,3.37424,3.20000,0.36576,2.36214,2.05979,98.57251,15435958803.03661,0.03455,0.65765,0.02272
Belarus,17054.55833,9466000.00000,0.76667,0.73333,0.51667,0.38644,3,0.20000,1.50000,0.06000,0.80000,0.05000,0.03564,1.00000,0.33536,1.30838,61.84812,585454338.22868,0.00000,6.03722,2.99469,0.38549,85272.79167,61.84812,80.92087,80.92087,61.84812,0.00000,0.00517,5.00000,2.99469,2.99469,220659.84524,3.39230,3.20000,1.77098,1.88000,1.63936,96.66176,915000204.90448,0.00567,0.63984,0.00363
Belgium,40608.97201,11182817.00000,0.97858,0.00000,0.42500,0.21669,3,0.20000,1.50000,0.06000,0.80000,0.05000,0.10099,1.00000,0.46520,1.14802,26.80017,299701418.85307,0.00000,0.69778,0.00000,2.10773,203044.86005,26.80017,30.76716,30.76716,26.80017,0.00000,0.00051,5.00000,0.00000,0.00000,937022.65067,3.39897,0.00000,2.47204,1.54000,1.54000,34.75759,388687791.04938,0.00086,0.77106,0.00066
