,social_p,social_r,ILO_total,ILO_social,year,share1,PV_EST,PV_PER_RNK,PV_PER_RNK_UPPER,PV_STD_ERR,GE_EST,GE_PER_RNK,GE_PER_RNK_UPPER,GE_STD_ERR,RQ_EST,RQ_PER_RNK,RQ_PER_RNK_UPPER,RQ_STD_ERR,remittance_usd,remittance_gdp,gdp,incomeLevel,region,is_eca,gini,FSR,social_p_est1,social_p_est2,social_p_est2_nofsr,social_p_est2_fsr,social_p_est3,social_p_est4,social_p_est,social_r_est
Afghanistan,,,5.6,1.99,2011,,-2.45806694,2.91262126,5.797101498,0.221862942,-1.344120622,8.17307663,16.74641228,0.231331229,-1.126950502,11.53846169,23.92344475,0.191010565,268060745.2,1.337747614,61132547123,Low income,South Asia,FALSE,,FALSE,0.086198707,0.065251398,0.069753499,,0.074526221,0.032786752,0.074526221,0.09070591
Albania,0.262949564,0.179359726,10.83,8.15,2011,0.0885,0.47325477,61.65048599,75.36231995,0.204798803,-0.070645057,51.92307663,63.63636398,0.214526772,0.22522743,60.57692337,68.89952087,0.179676145,1141665182,8.641441135,32151736050,Upper middle income,Europe & Central Asia (all income levels),TRUE,28.96,TRUE,0.390635491,0.534875526,,0.624377418,0.53511308,0.543270203,0.53511308,0.237647937
Algeria,,,8.53,5.36,2011,,-1.171418428,10.19417477,18.84057999,0.20912455,-0.511863232,33.65384674,45.45454407,0.190354973,-1.206556559,9.615385056,19.61722565,0.184914023,304151072,0.142447183,5.53E+11,Upper middle income,Middle East & North Africa (all income levels),FALSE,35.33,FALSE,0.260799003,0.219885246,0.228573096,,0.227728813,0.175337159,0.227728813,0.11937311
American Samoa,,,,,,,1.126467586,89.32038879,99.51690674,0.320725858,0.417159289,70.19230652,85.64593506,0.459674478,0.175328106,58.17307663,81.33971405,0.530168593,,,,Upper middle income,East Asia & Pacific (all income levels),FALSE,,FALSE,,,,,,,,
Andorra,,,,,,,1.331596732,97.08737946,99.51690674,0.320725858,1.678214669,93.75,100,0.459674478,0.854611456,77.40384674,94.73683929,0.530168593,,,,High income: nonOECD,Europe & Central Asia (all income levels),TRUE,,FALSE,,,,,,,,
Angola,,,6.79,4.64,2011,,-0.2733486,34.46601868,48.3091774,0.20912455,-1.146913052,12.98076916,18.66028786,0.182274476,-0.962016284,16.82692337,28.22966576,0.179108515,45379.90325,3.25E-05,1.52E+11,Upper middle income,Sub-Saharan Africa (all income levels),FALSE,42.72,FALSE,0.174762448,0.130071143,0.139854994,,0.140761715,0.135379728,0.140761715,0.104155572
Anguilla,,,,,,,1.26575017,94.6601944,99.51690674,0.277110815,0.921581447,77.40384674,93.30143738,0.459674478,0.854611456,77.40384674,94.73683929,0.530168593,,,,,,,,FALSE,,,,,,,,
Antigua and Barbuda,,,7.09,3.05,2011,,0.957360625,81.55339813,98.06763458,0.277110815,-0.087262891,50,72.72727203,0.459674478,0.514969826,68.75,89.47368622,0.530168593,21127350.74,1.730365752,2006791859,High income: nonOECD,Latin America & Caribbean (all income levels),FALSE,,FALSE,0.269195535,0.250039589,0.252771963,,0.253570919,0.254078738,0.253570919,0.12236347
Argentina,0.200153446,0.142647506,18.13,12.79,2010,0.0458,0.075252004,49.02912521,59.42028809,0.1997049,-0.182003036,45.67307663,59.80861282,0.193489805,-1.078917861,12.98076916,24.4019146,0.18065168,502077244.4,0.093381927,,High income: nonOECD,Latin America & Caribbean (all income levels),FALSE,42.28,FALSE,0.373127923,0.304952533,0.316559808,,0.3117874,0.262248224,0.3117874,0.1359252
Armenia,0.505060097,0.245726503,8.61,6.97,2013,0.0877,-0.205437258,37.86407852,52.65700531,0.20912455,-0.169273406,46.15384674,60.76554871,0.198865324,0.217384174,60.09615326,67.94258118,0.178614244,2078618315,17.85073903,24258831576,Lower middle income,Europe & Central Asia (all income levels),TRUE,31.54,TRUE,0.412662598,0.527818185,,0.63683344,0.515050205,0.530434206,0.515050205,0.233826513
Aruba,,,17.8,8.2,2009,,1.237603426,92.71844482,99.51690674,0.246550292,0.861703038,75,88.99521637,0.351513624,1.30361712,89.42308044,98.08612061,0.353684753,7262569.832,0.205352569,3671232222,High income: nonOECD,Latin America & Caribbean (all income levels),FALSE,,FALSE,0.455364729,0.419286288,0.426480805,,0.421369279,0.381484801,0.421369279,0.153518893
Australia,0.578,0.126,18.16,10.55,2011,0.0703,1.081707001,87.37863922,98.06763458,0.1997049,1.590635777,91.82691956,98.56459045,0.227214962,1.869747996,98.07691956,100,0.229259074,2332173408,0.16032259,1.08E+12,High income: OECD,East Asia & Pacific (all income levels),FALSE,34.94,FALSE,0.560483808,0.526271902,0.532913892,,0.525421313,0.402421096,0.525421313,0.171926405
Austria,0.51716638,0.40816435,27.89,20.37,2011,0.0846,1.294134498,96.11650848,99.51690674,0.1997049,1.568161249,91.34615326,98.56459045,0.227214962,1.490402818,91.34615326,97.60765839,0.229259074,3315217869,0.758826366,4.07E+11,High income: OECD,Europe & Central Asia (all income levels),TRUE,30.48,FALSE,0.617455123,0.55616676,0.564577521,,0.554784145,0.57762073,0.554784145,0.178602259
Azerbaijan,0.857128962,0.387772516,8.27,7.26,2011,0.0813,-0.501832545,29.12621307,39.61352539,0.20912455,-0.338886708,42.30769348,55.50239182,0.202686712,-0.292720914,43.75,53.58851624,0.181738943,1846424000,2.455416009,1.67E+11,Upper middle income,Europe & Central Asia (all income levels),TRUE,16.64,TRUE,0.318473636,0.485390778,,0.621118148,0.495701957,0.514449727,0.495701957,0.230624867
"Bahamas, The",,,6.29,2.79,2011,,1.019497514,83.98058319,97.58454132,0.22410281,0.720480144,74.03845978,86.60286713,0.305575699,0.120297313,55.28845978,71.29186249,0.282266378,,,8998371152,High income: nonOECD,Latin America & Caribbean (all income levels),FALSE,,FALSE,,,,,0.350851227,0.331863454,0.350851227,0.138753374
Bahrain,,,4.01,1.61,2010,,-0.941215515,14.56310654,25.60386467,0.20912455,0.590915799,72.59615326,77.99043274,0.233566016,0.695319295,74.03845978,81.8181839,0.23196356,,,61968145298,High income: nonOECD,Middle East & North Africa (all income levels),FALSE,,FALSE,,,,,0.307647547,0.246287865,0.307647547,0.129986555
Bangladesh,0.056762952,0.055377094,2.69,1.58,2011,0.0888,-0.876419783,17.96116447,27.05314064,0.204798803,-0.770675361,21.63461494,36.84210587,0.198925063,-0.941491365,18.26922989,28.7081337,0.18372862,14982837635,8.666282107,4.97E+11,Lower middle income,South Asia,FALSE,31.98,FALSE,0.169463153,0.139274352,0.129260037,,0.135395907,0.084481858,0.135395907,0.100519647
