country,hazard,rp,income_cat,fa,shew,v
Albania,earthquake,1.0,nonpoor,0.00215386785003,0.0,0.384171564148
Albania,earthquake,20.0,nonpoor,0.00695247639774,0.0,0.230598085035
Albania,earthquake,50.0,nonpoor,0.0147312641355,0.0,0.314667616068
Albania,earthquake,100.0,nonpoor,0.0254246325132,0.0,0.348276528698
Albania,earthquake,250.0,nonpoor,0.0503895869805,0.0,0.369949121263
Albania,earthquake,500.0,nonpoor,0.0806211208834,0.0,0.377429905875
Albania,earthquake,1000.0,nonpoor,0.122805516362,0.0,0.381214137774
Albania,earthquake,1500.0,nonpoor,0.153769700663,0.0,0.382480252853
Albania,earthquake,2000.0,nonpoor,1.08120453292e-15,0.0,0.38307932548
Albania,flood,1.0,nonpoor,0.000594876537214,0.0,0.384771033833
Albania,flood,20.0,nonpoor,0.0129873607649,0.0,0.230671336654
Albania,flood,50.0,nonpoor,0.0290380346261,0.0,0.314759500425
Albania,flood,100.0,nonpoor,0.035083673148,0.0,0.348310509289
Albania,flood,250.0,nonpoor,0.0618316847183,0.0,0.369966121247
Albania,flood,500.0,nonpoor,0.0722422845357,0.0,0.377423568504
Albania,flood,1000.0,nonpoor,0.0841972808322,0.0,0.381199405473
Albania,flood,1500.0,nonpoor,0.0899622349639,0.0,0.382463972414
Albania,flood,2000.0,nonpoor,5.50175712466e-16,0.0,0.38307932548
Albania,surge,1.0,nonpoor,0.0,0.0,0.385
Albania,surge,20.0,nonpoor,0.0,0.0,0.230513721607
Albania,surge,50.0,nonpoor,0.0,0.0,0.314573030652
Albania,surge,100.0,nonpoor,0.0,0.0,0.348187098878
Albania,surge,250.0,nonpoor,0.0,0.0,0.369874263799
Albania,surge,500.0,nonpoor,0.0,0.0,0.377368931691
Albania,surge,1000.0,nonpoor,0.0,0.0,0.381167278881
Albania,surge,1500.0,nonpoor,0.0,0.0,0.38244101966
Albania,surge,2000.0,nonpoor,0.0,0.0,0.38307932548
Albania,tsunami,1.0,nonpoor,0.0,0.0,0.385
Albania,tsunami,20.0,nonpoor,0.0,0.0,0.230513721607
Albania,tsunami,50.0,nonpoor,0.0,0.0,0.314573030652
Albania,tsunami,100.0,nonpoor,0.0,0.0,0.348187098878
Albania,tsunami,250.0,nonpoor,0.0,0.0,0.369874263799
Albania,tsunami,500.0,nonpoor,0.0,0.0,0.377368931691
Albania,tsunami,1000.0,nonpoor,0.0,0.0,0.381167278881
Albania,tsunami,1500.0,nonpoor,0.0,0.0,0.38244101966
Albania,tsunami,2000.0,nonpoor,0.0,0.0,0.38307932548
