country,dK,dKtot,20dKtot,K,dK_rp20
Ethiopia,5.868548678,600958140.5,12019162810,4.35566E+11,37.16960163
Fiji,298.4063854,268195723,5363914459,23696971015,2190.29676
France,75.98676003,5083218581,1.01664E+11,1.1394E+13,213.6653687
Gabon,106.4367481,210721983.7,4214439675,1.00732E+11,942.2917677
Georgia,95.2522764,354271791.6,7085435832,94883490323,434.3105973
Germany,44.15770122,3650414935,73008298698,1.33448E+13,120.3979212
Ghana,8.327634406,234895318.6,4697906372,2.75212E+11,73.61618612
Greece,444.2570872,4774315410,95486308192,1.10121E+12,1165.505621
Guatemala,48.84443553,809961337.9,16199226759,1.88645E+11,131.1705612
Guinea,6.032749062,74781498.88,1495629978,42901370494,48.69618045
Guinea-Bissau,1.758581234,3193052.43,63861048.6,6291044455,13.38804896
Guyana,71.99201349,55671640.01,1113432800,14717355263,666.3702349
Haiti,84.55034964,917145882.4,18342917647,1.34524E+11,396.6498629
Honduras,123.1300423,1122067699,22441353978,1.10085E+11,390.7030536
Hungary,297.3440732,2919311622,58386232440,1.12619E+12,1125.917165
India,19.64979876,26019700625,5.20394E+11,1.7828E+13,101.502041
Indonesia,39.40444039,10289108422,2.05782E+11,9.06774E+12,193.6869781
"Iran, Islamic Rep.",112.7870294,9054252633,1.81085E+11,4.04173E+12,267.3034209
Iraq,87.89992382,3270103245,65402064891,1.02462E+12,425.9223091
Ireland,42.04535353,200686466.7,4013729334,9.63486E+11,119.4069155
Israel,38.68153354,330614935.3,6612298707,7.77575E+11,86.41264481
Italy,198.6652976,12039234247,2.40785E+11,1.02536E+13,594.0536524
Jamaica,134.3846337,387209836.3,7744196727,61936313918,585.8509105
Japan,263.2945674,33436964835,6.68739E+11,2.30763E+13,531.6941018
Jordan,16.96847318,160450522.6,3209010452,4.51449E+11,33.94573578
Kazakhstan,70.24916855,1250226701,25004534012,1.26086E+12,265.2518873
Kenya,6.604093353,320044712.5,6400894250,3.06245E+11,35.14890894
Kiribati,0.096426002,11030.65248,220613.0496,764573216.1,0
"Korea, Rep.",249.6656501,12794292751,2.55886E+11,7.57146E+12,877.2914753
Kyrgyz Republic,31.22957548,189960138.8,3799202776,38491094381,139.7320746
Lao PDR,227.6523268,1538554786,30771095720,1.56719E+11,1368.627906
Latvia,156.4393706,306687496.7,6133749933,1.942E+11,862.1877087
Lebanon,42.97712615,258149328.4,5162986567,4.64825E+11,70.96910818
Lesotho,27.6273383,60885708.32,1217714166,31066638679,127.6643134
Liberia,2.318996046,10699437.3,213988745.9,7358077346,17.89499315
Lithuania,78.18190071,224561717,4491234341,2.56096E+11,558.8029739
Luxembourg,35.55491452,20727519.63,414550392.5,2.28771E+11,76.20466516
"Macedonia, FYR",44.55289451,92723751.37,1854475027,1.02942E+11,137.7359817
Madagascar,53.501028,1331884070,26637681401,1.18185E+11,260.7063681
Malawi,12.3574922,223566497,4471329940,77489307544,77.81103969
Malaysia,96.29311506,3003118897,60062377941,3.19353E+12,414.3114497
Maldives,0.21622795,90273.43935,1805468.787,15652269006,0
Mali,5.632345894,101353146.3,2027062926,54855298577,35.40365672
Mauritania,22.11097459,95099699.73,1901993995,64527751625,148.8280642
Mauritius,137.2922148,173465006.5,3469300130,83779190214,695.2538838
Mexico,26.40736421,3368006402,67360128045,5.82912E+12,77.69781585
Moldova,49.39668275,175457017.1,3509140343,68414311162,321.9327521
Mongolia,49.38019206,149493494.7,2989869893,1.65142E+11,251.3022113
Montenegro,35.90551444,22361272.19,447225443.7,26724211016,128.198114
Morocco,22.98142166,810710693.8,16214213876,9.51937E+11,104.7673739
Myanmar,75.24254789,3979218924,79584378481,3.9204E+11,496.0128458
Namibia,69.83860406,173179694.4,3463593888,88424319822,339.4422701
Nepal,23.74382995,688161986,13763239721,2.45391E+11,144.0542878
Netherlands,45.04975552,766675119.8,15333502396,3.17618E+12,33.5465232
Nicaragua,51.19103324,314821168.7,6296423374,1.05474E+11,216.0720163
Niger,5.95431623,123093502,2461870041,80269098060,28.89226405
Nigeria,7.423211194,1380640378,27612807552,1.15789E+12,44.85073706
Norway,1.00385842,5253119.838,105062396.8,9.93944E+11,0
Pakistan,31.22593047,6032958308,1.20659E+11,2.49566E+12,158.9234827
Panama,46.11137993,186018793.9,3720375878,1.59313E+11,153.984904
Papua New Guinea,27.14369665,219456543.1,4389130863,65163084975,149.752442
Paraguay,19.61335602,131905860.2,2638117203,1.62121E+11,90.56233537
Peru,254.0632484,8072564750,1.61451E+11,1.41955E+12,646.7236317
Philippines,181.4495717,18747410027,3.74948E+11,2.73215E+12,469.226817
Poland,25.5605154,969970847.4,19399416948,2.38808E+12,98.52322679
Portugal,13.94511795,143977918.2,2879558363,1.46569E+12,41.24112512
Romania,99.36838137,1958083865,39161677294,1.5932E+12,527.0654303
Russian Federation,47.0504088,6791368739,1.35827E+11,9.93224E+12,209.4608153
Rwanda,6.98495579,83243266.5,1664865330,29665090704,50.75159173
Senegal,4.504078648,69415121.56,1388302431,1.62175E+11,34.36871856
Serbia,199.5344519,1408196836,28163936712,4.39888E+11,917.3623156
Seychelles,0,0,0,11401716862,0
Sierra Leone,8.657789252,64034654.29,1280693086,24829315416,83.83457516
Slovak Republic,110.3820942,599231716.5,11984634330,5.1742E+11,494.4590782
Slovenia,164.1937133,339034568,6780691361,2.78034E+11,360.168848
Solomon Islands,79.91374032,47901814.31,958036286.1,4184845697,361.6368615
South Africa,30.86232997,1725477840,34509556793,1.66284E+12,121.594658
Spain,22.45889514,1043080005,20861600104,8.44143E+12,82.10622577
Sri Lanka,24.34488346,516184564,10323691281,7.16296E+11,109.115765
St. Lucia,160.2307792,28523482.16,570469643.3,2136539655,838.6244829
St. Vincent and the Grenadines,150.5838945,16510469.95,330209399,1859233443,531.7568473
Sudan,8.311867591,328973977.7,6579479555,1.8293E+11,55.89838895
Swaziland,43.54883806,58490357.3,1169807146,54560508981,195.1084205
Sweden,4.719345302,46736252.29,934725045.8,1.28695E+12,12.18461218
Switzerland,83.47034318,698821893.2,13976437863,1.67466E+12,105.0605765
Tajikistan,36.0911406,315254344.7,6305086894,62608719312,175.0745092
Tanzania,7.938251051,441146083,8822921660,3.47427E+11,35.85344914
Thailand,107.7688825,7421343951,1.48427E+11,4.49331E+12,511.6313879
Timor-Leste,19.79242346,25110073.67,502201473.3,21163211374,54.47334481
Togo,4.576307793,34809108.61,696182172.3,28344754707,37.53031491
Tonga,241.3481007,25853691.24,517073824.8,1596333210,961.1323658
Trinidad and Tobago,242.32245,330760935.9,6615218719,37426254303,1117.8738
Tunisia,26.35007414,300476430.3,6009528605,4.91877E+11,89.50645974
Turkey,70.58676864,5612525218,1.12251E+11,4.56807E+12,199.5199095
Uganda,3.107897904,128940359.4,2578807189,1.23967E+11,14.60819336
Ukraine,45.42308908,2044249999,40884999974,1.40367E+12,237.2673817
United Kingdom,23.80716676,1562636695,31252733893,8.42336E+12,77.33258981
United States,146.9017372,47467993001,9.4936E+11,5.40064E+13,390.199139
Uruguay,12.95598239,44620481.09,892409621.7,2.36536E+11,27.65248862
Uzbekistan,15.01986591,478355693.5,9567113870,2.63396E+11,46.09847365
Vanuatu,224.7811766,60781279.71,1215625594,2600070139,1182.663088
"Venezuela, RB",107.2071072,3384333151,67686663014,1.78069E+12,396.9380762
Vietnam,105.931272,9819945436,1.96399E+11,2.0469E+12,649.7706466
"Yemen, Rep.",11.8535295,326970282.4,6539405648,2.92679E+11,67.9222182
Zambia,7.542897512,125147154.4,2502943087,1.41696E+11,41.27341187
Zimbabwe,0.059481842,960653.2873,19213065.75,1569109742,0.359413066
