country,vp,vr,v
Afghanistan,0.3,0.554908896588,
Albania,0.566,0.385,0.401109
Algeria,0.5503924,0.1,0.1423368856
American Samoa,0.3,0.2755,
Andorra,0.105,0.1,
Angola,0.3,0.7,0.6784
Antigua and Barbuda,0.3,0.2175,0.21834975
Arab World,,,
Argentina,0.7,0.3973657375,0.4118921821
Armenia,0.3,0.2375,0.242625
Aruba,0.605685096709,0.7,
Australia,0.3,0.6386,0.6138822
Austria,0.3,0.307,0.306433
Azerbaijan,0.3,0.2375,0.24275
"Bahamas, The",0.3,0.5735,
Bahrain,0.664,0.63625,
Bangladesh,0.3,0.514151072566,0.495091627107
Barbados,0.3,0.2715,
Belarus,0.3,0.395,0.385975
Belgium,0.3,0.31,0.30914
Belize,0.3,0.3105,0.31016295
Benin,0.593739601658,0.7,0.696599667253
Bermuda,0.3,0.6265,
Bhutan,0.674331232286,0.680307768572,0.679907340641
Bolivia,0.3,0.488854211679,0.481677751635
Bosnia and Herzegovina,0.3,0.5420235935,0.524355871174
Botswana,0.466403415957,0.7,0.693459295647
Brazil,0.502651539985,0.7,0.692895455439
British Virgin Islands,,,
Brunei Darussalam,0.3,0.246692046881,
Bulgaria,0.3,0.4853306138,0.474210776972
Burkina Faso,0.593739601658,0.7,0.691180386938
Burundi,0.3,0.542447212715,0.526445696676
Cabo Verde,,,
Cambodia,0.3585642,0.2885223625,
Cameroon,0.3,0.38359202402,0.379830382939
Canada,0.3,0.301669114029,0.301558952504
Caribbean small states,,,
Cayman Islands,0.3,0.491375828972,
Central African Republic,0.674850589798,0.641107907847,0.642221416351
Central Europe and the Baltics,,,
Chad,0.593739601658,0.7,0.694793240481
Channel Islands,,,
Chile,0.3,0.1184621,0.1271759192
China,0.5748723,0.56623771375,0.566686712235
Colombia,0.3,0.27948,0.28021872
Comoros,0.3,0.542447212715,0.531537088143
"Congo, Dem. Rep.",0.3,0.7,0.678
"Congo, Rep.",0.3,0.38359202402,0.380081159011
Costa Rica,0.3,0.421042167331,0.415837354136
Cote d'Ivoire,0.593739601658,0.7,0.693943157295
Croatia,0.3,0.5411874491,0.524063140214
Cuba,0.3,0.14625,
Curacao,0.3,0.305,
Cyprus,0.464900761905,0.1,0.127732457905
Czech Republic,0.454,0.475,0.472963
Denmark,0.3,0.25,0.25455
Djibouti,0.3,0.372560034233,0.369004592555
Dominica,0.3,0.2945,0.294709
Dominican Republic,0.3,0.312249342304,0.311624625847
Early-demographic dividend,,,
East Asia & Pacific,,,
East Asia & Pacific (IDA & IBRD countries),,,
East Asia & Pacific (excluding high income),,,
Ecuador,0.605685096709,0.7,0.695755829352
"Egypt, Arab Rep.",0.3,0.65,0.61815
