Netherlands,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce
exposure of the nonpoor by 5%
of total exposure",45.74351180236172,39.79940762968469,46 (5.2%),40 (5.8%)
"Accelerate
reconstruction
(by 33%)",44.84515989896261,0.0,45 (5.1%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",38.61450121463537,14.178155550171255,39 (4.4%),14 (2.1%)
"Develop market
insurance
(nonpoor people)",31.336673470923063,0.0,31 (3.6%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",13.431298600635767,4.500122119163275,13 (1.5%),4.5 (0.65%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",13.393954505290747,11.766712025802136,13 (1.5%),12 (1.7%)
"Postdisaster
support
package",6.44937996631813,1.1920928955078124e-13,6.4 (0.73%),0 (0%)
"Universal
access to
finance",4.86417313409388,0.0,4.9 (0.55%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Universal
access to early
warnings",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-3.6221939278837443,-6.000162825550794,-3.6 (-0.41%),-6 (-0.87%)
