Rwanda,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",13.125165584599465,0.0,13 (13%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",9.071229595801308,0.7346100251888409,9.1 (8.9%),0.73 (1.2%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",4.579602064569145,3.3398981912368684,4.6 (4.5%),3.3 (5.5%)
"Develop market
insurance
(nonpoor people)",3.64494249867323,0.0,3.6 (3.6%),0 (0%)
"Universal
access to early
warnings",2.880960879108876,1.8176333122705146,2.9 (2.8%),1.8 (3%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",1.6666054507852643,0.12644612485494464,1.7 (1.6%),0.13 (0.21%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",1.598759632442817,1.1087402656462415,1.6 (1.6%),1.1 (1.8%)
"Postdisaster
support
package",0.810390269153431,0.0,0.81 (0.8%),0 (0%)
"Increase
income of the
poor 10%",0.30960279448881745,-0.16859483313994855,0.31 (0.31%),-0.17 (-0.28%)
"Universal
access to
finance",-0.3201897045638859,0.0,-0.32 (-0.32%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",-1.1288895067442803,0.0,-1.1 (-1.1%),0 (0%)
