Nepal,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Universal
access to early
warnings",110.58916569496357,65.75826242967081,110 (11%),66 (10%)
"Reduce exposure
of the poor by 5%
of total exposure",92.4795057642796,26.237654816835878,92 (9.3%),26 (4.2%)
"Increase social
transfers to poor
people to at
least 33%",72.38103638837791,0.0,72 (7.3%),0 (0%)
"Accelerate
reconstruction
(by 33%)",56.321879657587644,0.0,56 (5.7%),0 (0%)
"Postdisaster
support
package",55.64352801273584,0.0,56 (5.6%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",37.2658122663039,9.49627885138297,37 (3.8%),9.5 (1.5%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",36.11688084579408,33.03590126678967,36 (3.6%),33 (5.3%)
"Universal
access to
finance",29.04711890754616,0.0,29 (2.9%),0 (0%)
"Develop market
insurance
(nonpoor people)",28.496220690388082,0.0,28 (2.9%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",10.335324673336864,9.399265457906722,10 (1%),9.4 (1.5%)
"Increase
income of the
poor 10%",-3.84314926454854,-12.661705135177492,-3.8 (-0.39%),-13 (-2%)
