United Kingdom,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",119.80742526674723,0.0,120 (6.1%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",110.22687053059721,86.0847423847127,110 (5.6%),86 (6.1%)
"Develop market
insurance
(nonpoor people)",63.65452549319338,0.0,64 (3.3%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",50.81351191991639,13.038483463176965,51 (2.6%),13 (0.92%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",32.60722073028803,25.62479581670618,33 (1.7%),26 (1.8%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",17.396743753973723,4.033093663185596,17 (0.89%),4 (0.28%)
"Universal
access to
finance",14.65262074365878,0.0,15 (0.75%),0 (0%)
"Postdisaster
support
package",12.969646739250898,0.0,13 (0.66%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Universal
access to early
warnings",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-0.12837335573625563,-5.377458217580795,-0.13 (-0.01%),-5.4 (-0.38%)
