Denmark,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce
exposure of the nonpoor by 5%
of total exposure",0.8679927666510417,0.7423629402267131,0.87 (5.7%),0.74 (6%)
"Universal
access to early
warnings",0.7394131024223957,0.5908028917504493,0.74 (4.8%),0.59 (4.8%)
"Accelerate
reconstruction
(by 33%)",0.6971072196049746,0.0,0.7 (4.5%),0 (0%)
"Develop market
insurance
(nonpoor people)",0.5873204195556995,0.0,0.59 (3.8%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",0.4119414586332515,0.17898152405675685,0.41 (2.7%),0.18 (1.4%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",0.2551930285801049,0.21809187827014176,0.26 (1.7%),0.22 (1.8%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",0.14411898187974467,0.05814704142639599,0.14 (0.94%),0.06 (0.47%)
"Universal
access to
finance",0.1048255482901316,0.0,0.1 (0.68%),0 (0%)
"Postdisaster
support
package",0.0973988287579827,0.0,0.1 (0.63%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-0.06142752834668569,-0.07752938856853545,-0.06 (-0.4%),-0.08 (-0.62%)
