Czech Republic,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",47.762213942878724,20.34402903944516,48 (7%),20 (4%)
"Accelerate
reconstruction
(by 33%)",33.35431273683441,0.0,33 (4.9%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",30.84249207047546,27.01922801707566,31 (4.5%),27 (5.3%)
"Develop market
insurance
(nonpoor people)",22.741980529930473,0.0,23 (3.3%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",16.788211698881984,6.427708886991501,17 (2.5%),6.4 (1.3%)
"Postdisaster
support
package",12.25010894489026,0.0,12 (1.8%),0 (0%)
"Universal
access to
finance",11.562861995522379,0.0,12 (1.7%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",8.955918566477298,7.998024946253538,9 (1.3%),8 (1.6%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Universal
access to early
warnings",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-7.7897061283332105,-8.570278515988827,-7.8 (-1.1%),-8.6 (-1.7%)
