Ukraine,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Universal
access to early
warnings",656.3716587582215,461.988129291847,660 (21%),460 (20%)
"Reduce exposure
of the poor by 5%
of total exposure",200.21103122005272,71.44777113650846,200 (6.3%),71 (3.1%)
"Accelerate
reconstruction
(by 33%)",159.64764480175972,0.0,160 (5%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",148.04551240883683,128.9301661418891,150 (4.6%),130 (5.5%)
"Develop market
insurance
(nonpoor people)",132.89182166726445,0.0,130 (4.2%),0 (0%)
"Postdisaster
support
package",109.72412704094123,0.0,110 (3.4%),0 (0%)
"Universal
access to
finance",86.80207077790928,0.0,87 (2.7%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",69.20340976069784,23.196756938257217,69 (2.2%),23 (1%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",45.261087640758035,37.88395917193174,45 (1.4%),38 (1.6%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-27.557314731167317,-30.929009251009465,-28 (-0.87%),-31 (-1.3%)
