Montenegro,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",2.2871248806764854,0.0,2.3 (7.4%),0 (0%)
"Universal
access to early
warnings",2.228585935368437,1.39220478762405,2.2 (7.2%),1.4 (6.8%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",1.5542401006963327,1.2121527304826938,1.6 (5%),1.2 (5.9%)
"Reduce exposure
of the poor by 5%
of total exposure",1.5101522614095062,0.36537391989886386,1.5 (4.9%),0.37 (1.8%)
"Develop market
insurance
(nonpoor people)",1.1414101158114038,0.0,1.1 (3.7%),0 (0%)
"Postdisaster
support
package",0.8719155082255863,0.0,0.87 (2.8%),0 (0%)
"Universal
access to
finance",0.8067411773470268,0.0,0.81 (2.6%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",0.5203635569245368,0.12134114338402822,0.52 (1.7%),0.12 (0.59%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",0.46914249931351837,0.35391790815912183,0.47 (1.5%),0.35 (1.7%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-0.16686412260949238,-0.1617881911787018,-0.17 (-0.54%),-0.16 (-0.79%)
