"Egypt, Arab Rep.",Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",129.1274226640525,0.0,130 (9.9%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",102.85882121234702,0.0,100 (7.9%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",95.93069766536568,22.614776772118567,96 (7.4%),23 (3%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",54.82606657710767,42.65413149211645,55 (4.2%),43 (5.7%)
"Universal
access to early
warnings",44.44087955265522,21.67435877308893,44 (3.4%),22 (2.9%)
"Postdisaster
support
package",43.136362932525394,0.0,43 (3.3%),0 (0%)
"Develop market
insurance
(nonpoor people)",41.46102820109868,0.0,41 (3.2%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",39.829008749225615,8.641515544897079,40 (3.1%),8.6 (1.2%)
"Universal
access to
finance",30.897076734460352,0.0,31 (2.4%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",15.852341174381733,11.920570382773757,16 (1.2%),12 (1.6%)
"Increase
income of the
poor 10%",0.6013508155612945,-11.52202072652912,0.6 (0.05%),-12 (-1.5%)
