United States,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",3897.4354712001873,0.0,3900 (6.5%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",3183.660660325943,2422.8644610307233,3200 (5.3%),2400 (6.1%)
"Reduce exposure
of the poor by 5%
of total exposure",2254.0634290931853,274.0494724962463,2300 (3.8%),270 (0.69%)
"Develop market
insurance
(nonpoor people)",1986.061243000244,0.0,2000 (3.3%),0 (0%)
"Universal
access to early
warnings",1931.8591697558822,1257.1826770028838,1900 (3.2%),1300 (3.2%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",957.7672977904815,722.561099334526,960 (1.6%),720 (1.8%)
"Universal
access to
finance",847.9833925050583,0.0,850 (1.4%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",746.1685565809936,84.15953183388518,750 (1.3%),84 (0.21%)
"Postdisaster
support
package",477.8242602279205,-7.62939453125e-12,480 (0.8%),-0 (-0%)
"Increase
income of the
poor 10%",71.91793309439086,-112.21270911186218,72 (0.12%),-110 (-0.28%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
