Botswana,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",12.051933172275245,0.5605630554652363,12 (7.9%),0.56 (0.63%)
"Accelerate
reconstruction
(by 33%)",9.390730899999172,0.0,9.4 (6.2%),0 (0%)
"Develop market
insurance
(nonpoor people)",6.789430897727668,0.0,6.8 (4.5%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",6.475852921603233,5.477028639274284,6.5 (4.3%),5.5 (6.2%)
"Increase social
transfers to poor
people to at
least 33%",5.681284038771957,0.0,5.7 (3.7%),0 (0%)
"Postdisaster
support
package",4.844201747793913,1.4901161193847656e-14,4.8 (3.2%),0 (0%)
"Universal
access to early
warnings",4.5225733056420685,2.421419952106312,4.5 (3%),2.4 (2.7%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",4.2802836529627735,0.17620478816764057,4.3 (2.8%),0.18 (0.2%)
"Universal
access to
finance",3.969924439061105,0.0,4 (2.6%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",2.0533111278682945,1.623479801554486,2.1 (1.3%),1.6 (1.8%)
"Increase
income of the
poor 10%",1.5397283313274084,-0.23493971755686402,1.5 (1%),-0.23 (-0.26%)
