Syrian Arab Republic,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",65.74564806036604,13.120534487808108,66 (9.3%),13 (2.8%)
"Increase social
transfers to poor
people to at
least 33%",64.182506050264,0.0,64 (9.1%),0 (0%)
"Accelerate
reconstruction
(by 33%)",41.61347535978114,0.0,42 (5.9%),0 (0%)
"Develop market
insurance
(nonpoor people)",30.24860465701449,0.0,30 (4.3%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",27.839758787481546,25.87460232360363,28 (3.9%),26 (5.5%)
"Postdisaster
support
package",25.385284229555246,0.0,25 (3.6%),0 (0%)
"Universal
access to early
warnings",23.850398256418107,14.603924742547093,24 (3.4%),15 (3.1%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",22.725666436640857,3.9505244404581785,23 (3.2%),4 (0.85%)
"Universal
access to
finance",17.74695738461256,0.0,18 (2.5%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",8.86631818277967,7.755298950081229,8.9 (1.3%),7.8 (1.7%)
"Increase
income of the
poor 10%",2.8345006010648013,-5.267365920610786,2.8 (0.4%),-5.3 (-1.1%)
