Sri Lanka,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",36.032991581036626,0.0,36 (7.2%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",35.125157173656284,6.884192117900967,35 (7%),6.9 (2%)
"Universal
access to early
warnings",25.608751965807674,16.76917404006189,26 (5.1%),17 (4.8%)
"Develop market
insurance
(nonpoor people)",24.31345584452021,0.0,24 (4.9%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",22.830934184934495,19.888995711297927,23 (4.6%),20 (5.6%)
"Increase social
transfers to poor
people to at
least 33%",14.421091281491995,0.0,14 (2.9%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",10.217972506646156,1.8114853705485463,10 (2%),1.8 (0.51%)
"Postdisaster
support
package",7.907836071672081,5.960464477539062e-14,7.9 (1.6%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",7.539839059834837,6.149990935637355,7.5 (1.5%),6.1 (1.7%)
"Universal
access to
finance",5.545038928123176,0.0,5.5 (1.1%),0 (0%)
"Increase
income of the
poor 10%",0.24309107133185862,-2.415313827397883,0.24 (0.05%),-2.4 (-0.69%)
