Greece,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",956.0873440575562,264.5568780632419,960 (12%),260 (5.2%)
"Accelerate
reconstruction
(by 33%)",400.8601291421613,0.0,400 (4.8%),0 (0%)
"Postdisaster
support
package",379.22902812255666,0.0,380 (4.6%),0 (0%)
"Universal
access to
finance",329.066253214262,0.0,330 (4%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",314.3486322000694,79.41045008010006,310 (3.8%),79 (1.6%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",284.99394690246965,249.53841593341446,280 (3.4%),250 (4.9%)
"Develop market
insurance
(nonpoor people)",173.68879893355654,0.0,170 (2.1%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",81.10435979519748,74.85129386222648,81 (0.98%),75 (1.5%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Universal
access to early
warnings",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-89.06404985731888,-105.88060010680103,-89 (-1.1%),-110 (-2.1%)
