Kazakhstan,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",148.82444485271452,47.7943236905992,150 (9.1%),48 (4.7%)
"Accelerate
reconstruction
(by 33%)",110.24346453048562,0.0,110 (6.7%),0 (0%)
"Universal
access to
finance",65.34873112732244,0.0,65 (4%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",63.6574625416553,51.95451535554003,64 (3.9%),52 (5.1%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",51.06088830786752,15.511797006075144,51 (3.1%),16 (1.5%)
"Develop market
insurance
(nonpoor people)",37.96224599163365,0.0,38 (2.3%),0 (0%)
"Postdisaster
support
package",37.663942627307414,0.0,38 (2.3%),0 (0%)
"Universal
access to early
warnings",35.47595141159963,21.387325288620232,35 (2.2%),21 (2.1%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",18.36638312813258,15.2674432077291,18 (1.1%),15 (1.5%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-21.212442070342302,-20.682396008100508,-21 (-1.3%),-21 (-2%)
