Malawi,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Increase social
transfers to poor
people to at
least 33%",26.52521136127916,0.0,27 (13%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",22.82678860280183,2.6058169197687953,23 (11%),2.6 (2.1%)
"Accelerate
reconstruction
(by 33%)",11.512781675216615,0.0,12 (5.5%),0 (0%)
"Universal
access to early
warnings",8.972604660645215,4.8929846741433884,9 (4.3%),4.9 (3.9%)
"Postdisaster
support
package",8.940739456288426,0.0,8.9 (4.3%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",7.9451424126545485,0.7873667635371834,7.9 (3.8%),0.79 (0.63%)
"Develop market
insurance
(nonpoor people)",7.69963643167448,0.0,7.7 (3.7%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",7.380875109320611,7.141847775086626,7.4 (3.5%),7.1 (5.7%)
"Universal
access to
finance",6.546346826982051,0.0,6.5 (3.1%),0 (0%)
"Increase
income of the
poor 10%",2.425997753002435,-1.0498223513829559,2.4 (1.2%),-1 (-0.84%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",2.3206963255839943,2.1387024466912,2.3 (1.1%),2.1 (1.7%)
