Kenya,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Increase social
transfers to poor
people to at
least 33%",84.97727330127155,0.0,85 (15%),0 (0%)
"Universal
access to early
warnings",70.550853390891,30.1164367144759,71 (12%),30 (11%)
"Accelerate
reconstruction
(by 33%)",55.314666888551294,0.0,55 (9.7%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",44.15008920585269,4.189662461839736,44 (7.8%),4.2 (1.6%)
"Postdisaster
support
package",34.44089804208302,0.0,34 (6.1%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",23.426231025096296,1.9764414778427482,23 (4.1%),2 (0.75%)
"Universal
access to
finance",21.638848128395317,0.0,22 (3.8%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",21.418391904772875,17.3346279996807,21 (3.8%),17 (6.6%)
"Develop market
insurance
(nonpoor people)",15.11775344999516,0.0,15 (2.7%),0 (0%)
"Increase
income of the
poor 10%",7.646291437316894,-2.635255303790271,7.6 (1.3%),-2.6 (-1%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",5.511995330905318,4.4561156912382245,5.5 (0.97%),4.5 (1.7%)
