Uganda,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",23.72698579045674,0.0,24 (11%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",14.110537052561224,1.750604031495139,14 (6.5%),1.8 (1.7%)
"Universal
access to early
warnings",10.949038778614044,4.812830855717689,11 (5.1%),4.8 (4.6%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",9.700580993812501,6.588569684104025,9.7 (4.5%),6.6 (6.2%)
"Universal
access to
finance",8.541717350886046,0.0,8.5 (3.9%),0 (0%)
"Postdisaster
support
package",7.5172504318293925,0.0,7.5 (3.5%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",6.047260603832006,0.7061933394504487,6 (2.8%),0.71 (0.67%)
"Develop market
insurance
(nonpoor people)",5.026252925689429,0.0,5 (2.3%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",2.6639188734695014,1.806256686434537,2.7 (1.2%),1.8 (1.7%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-0.8804068474881649,-0.941591119267255,-0.88 (-0.41%),-0.94 (-0.89%)
