Ghana,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",25.029858101211488,0.0,25 (8.5%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",18.693364293558716,2.153847836290538,19 (6.4%),2.2 (1.2%)
"Universal
access to early
warnings",14.81516927327758,8.512254376636147,15 (5%),8.5 (4.8%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",13.535916719453454,10.968909561138064,14 (4.6%),11 (6.1%)
"Develop market
insurance
(nonpoor people)",11.254839530924022,0.0,11 (3.8%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",9.771575669838725,0.0,9.8 (3.3%),0 (0%)
"Postdisaster
support
package",7.341865476506948,-2.980232238769531e-14,7.3 (2.5%),-0 (-0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",7.128321617656708,0.7443889600511789,7.1 (2.4%),0.74 (0.42%)
"Universal
access to
finance",5.906377467051923,0.0,5.9 (2%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",4.055600103910982,3.165602920787722,4.1 (1.4%),3.2 (1.8%)
"Increase
income of the
poor 10%",1.5197860536452532,-0.9925186134016811,1.5 (0.52%),-0.99 (-0.56%)
