Germany,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce
exposure of the nonpoor by 5%
of total exposure",242.97089326845503,200.94957034528636,240 (5.5%),200 (5.9%)
"Accelerate
reconstruction
(by 33%)",241.58813922525405,0.0,240 (5.5%),0 (0%)
"Develop market
insurance
(nonpoor people)",155.87571562484692,0.0,160 (3.5%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",133.7700198152232,52.30356211288738,130 (3%),52 (1.5%)
"Universal
access to early
warnings",90.1929038527584,69.01651679743529,90 (2.1%),69 (2%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",71.94324302407837,59.74818977720022,72 (1.6%),60 (1.8%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",45.20770468122768,16.2498226544137,45 (1%),16 (0.48%)
"Postdisaster
support
package",23.80115623020458,4.76837158203125e-13,24 (0.54%),0 (0%)
"Universal
access to
finance",23.35625750797653,0.0,23 (0.53%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-18.064135277910232,-21.666430205884456,-18 (-0.41%),-22 (-0.64%)
