Serbia,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Universal
access to early
warnings",200.10377103388024,135.38983540631054,200 (11%),140 (11%)
"Reduce exposure
of the poor by 5%
of total exposure",128.87316319687795,37.10978854579067,130 (7.2%),37 (2.9%)
"Accelerate
reconstruction
(by 33%)",80.92899858189058,0.0,81 (4.5%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",79.49117900477839,71.37379259228872,79 (4.4%),71 (5.6%)
"Develop market
insurance
(nonpoor people)",73.32741108028912,0.0,73 (4.1%),0 (0%)
"Postdisaster
support
package",58.80105279045414,2.384185791015625e-13,59 (3.3%),0 (0%)
"Universal
access to
finance",51.05355209528017,0.0,51 (2.9%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",45.95933405828404,11.882133509302854,46 (2.6%),12 (0.93%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",24.11623223296547,21.051902449630497,24 (1.3%),21 (1.6%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-9.030782571101426,-15.842844679069518,-9 (-0.5%),-16 (-1.2%)
