"Venezuela, RB",Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",452.27104258721255,34.90509581332159,450 (8.4%),35 (1.1%)
"Accelerate
reconstruction
(by 33%)",366.2716126912422,0.0,370 (6.8%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",312.1510461568661,0.0,310 (5.8%),0 (0%)
"Postdisaster
support
package",254.59347293668174,0.0,250 (4.7%),0 (0%)
"Develop market
insurance
(nonpoor people)",253.7388397196884,0.0,250 (4.7%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",222.31909517203522,198.72748029448653,220 (4.1%),200 (6%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",153.26033010692214,10.650250019726275,150 (2.8%),11 (0.32%)
"Universal
access to
finance",121.0223681631317,0.0,120 (2.2%),0 (0%)
"Universal
access to early
warnings",105.53059590552711,56.03053841370821,110 (2%),56 (1.7%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",72.97547374777699,59.363862686624046,73 (1.4%),59 (1.8%)
"Increase
income of the
poor 10%",47.415773966501234,-14.200333359635353,47 (0.88%),-14 (-0.43%)
