Estonia,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Universal
access to early
warnings",25.688228795821576,15.161232799530975,26 (20%),15 (20%)
"Reduce exposure
of the poor by 5%
of total exposure",13.210047422142326,3.1871679662607906,13 (10%),3.2 (4.1%)
"Postdisaster
support
package",7.270054542750776,0.0,7.3 (5.6%),0 (0%)
"Accelerate
reconstruction
(by 33%)",7.250645205487996,0.0,7.3 (5.6%),0 (0%)
"Universal
access to
finance",5.096545040633813,0.0,5.1 (4%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",4.687333181207344,4.046943782414719,4.7 (3.6%),4 (5.2%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",4.241556587887823,0.9912810680159777,4.2 (3.3%),0.99 (1.3%)
"Develop market
insurance
(nonpoor people)",2.8841011991173473,0.0,2.9 (2.2%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",1.4040405266374647,1.202931237415716,1.4 (1.1%),1.2 (1.6%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-1.6031840924369096,-1.3217080906879455,-1.6 (-1.2%),-1.3 (-1.7%)
