Ireland,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Universal
access to early
warnings",38.061815289255975,28.105645756348476,38 (19%),28 (19%)
"Accelerate
reconstruction
(by 33%)",12.60136892050004,0.0,13 (6.2%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",11.767233158415495,9.249211874699652,12 (5.8%),9.2 (6.1%)
"Develop market
insurance
(nonpoor people)",6.885189024580538,0.0,6.9 (3.4%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",4.365093162379503,1.417533595919311,4.4 (2.1%),1.4 (0.94%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",3.4896540227992534,2.7212500545609295,3.5 (1.7%),2.7 (1.8%)
"Postdisaster
support
package",3.1389233124604226,0.0,3.1 (1.5%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",1.4202417033134103,0.45806598537150023,1.4 (0.7%),0.46 (0.3%)
"Universal
access to
finance",1.316345590052098,0.0,1.3 (0.65%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-0.3677446105521917,-0.6107546471620202,-0.37 (-0.18%),-0.61 (-0.4%)
