Argentina,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",608.2931487477979,60.582339793337816,610 (10%),61 (1.8%)
"Increase social
transfers to poor
people to at
least 33%",436.15841446539594,0.0,440 (7.5%),0 (0%)
"Accelerate
reconstruction
(by 33%)",336.3486904315214,0.0,340 (5.8%),0 (0%)
"Postdisaster
support
package",275.9384420377607,0.0,280 (4.7%),0 (0%)
"Universal
access to
finance",223.83401935644054,0.0,220 (3.8%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",212.22437140456867,18.67252336073589,210 (3.6%),19 (0.57%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",210.08972822463798,191.94767922704125,210 (3.6%),190 (5.8%)
"Develop market
insurance
(nonpoor people)",188.3172330983801,0.0,190 (3.2%),0 (0%)
"Universal
access to early
warnings",98.15220187708186,51.43292806558132,98 (1.7%),51 (1.6%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",64.15808838202285,57.189982307891846,64 (1.1%),57 (1.7%)
"Increase
income of the
poor 10%",42.25358935924911,-24.896697814315793,42 (0.73%),-25 (-0.75%)
