Nigeria,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",335.64941997881505,0.0,340 (15%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",194.29143804973745,15.390975351218461,190 (8.5%),15 (1.4%)
"Increase social
transfers to poor
people to at
least 33%",129.10195156640577,0.0,130 (5.6%),0 (0%)
"Universal
access to early
warnings",110.10216731492757,50.762860022529956,110 (4.8%),51 (4.6%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",95.41081076314735,64.7480432704885,95 (4.2%),65 (5.9%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",60.74249375050068,4.475633023698568,61 (2.7%),4.5 (0.41%)
"Develop market
insurance
(nonpoor people)",60.33313285156345,0.0,60 (2.6%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",29.76167675333166,19.57339932727003,30 (1.3%),20 (1.8%)
"Postdisaster
support
package",29.320116050917623,0.0,29 (1.3%),0 (0%)
"Universal
access to
finance",24.53648126311445,0.0,25 (1.1%),0 (0%)
"Increase
income of the
poor 10%",16.999768911993026,-5.967510698265076,17 (0.74%),-6 (-0.54%)
