Romania,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",139.71235561860132,50.79772971513915,140 (6.6%),51 (3.4%)
"Accelerate
reconstruction
(by 33%)",114.98447573270869,0.0,110 (5.5%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",96.59325941047214,81.66713378099035,97 (4.6%),82 (5.4%)
"Develop market
insurance
(nonpoor people)",67.41063765388297,0.0,67 (3.2%),0 (0%)
"Universal
access to early
warnings",61.136631882835864,42.485412493549106,61 (2.9%),42 (2.8%)
"Universal
access to
finance",59.56119006208467,0.0,60 (2.8%),0 (0%)
"Postdisaster
support
package",50.79966665806698,0.0,51 (2.4%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",47.832861101402756,16.15720333759284,48 (2.3%),16 (1.1%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",28.44539678598213,24.131221137359617,28 (1.4%),24 (1.6%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-23.819428999654054,-21.542937783457038,-24 (-1.1%),-22 (-1.4%)
