Swaziland,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",8.54838609928602,0.7303378769988268,8.5 (11%),0.73 (1.7%)
"Increase social
transfers to poor
people to at
least 33%",7.797529675790548,0.0,7.8 (10%),0 (0%)
"Postdisaster
support
package",4.729800505978018,0.0,4.7 (6.1%),0 (0%)
"Universal
access to early
warnings",3.962869268165126,2.0355568503594323,4 (5.1%),2 (4.6%)
"Universal
access to
finance",3.1204589453053773,0.0,3.1 (4%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",3.1059617104528994,0.23374949231022596,3.1 (4%),0.23 (0.53%)
"Accelerate
reconstruction
(by 33%)",3.0170742071043697,0.0,3 (3.9%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",2.655151063912481,2.5993700147862433,2.7 (3.4%),2.6 (5.9%)
"Develop market
insurance
(nonpoor people)",2.5043290022378266,0.0,2.5 (3.2%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",0.8029462840432972,0.7667773425370902,0.8 (1%),0.77 (1.7%)
"Increase
income of the
poor 10%",0.7723366770063191,-0.31166598974698034,0.77 (0.99%),-0.31 (-0.71%)
