Croatia,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",34.61815855581426,9.745322579596222,35 (5.2%),9.7 (2%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",33.31679167451572,28.552521274223565,33 (5%),29 (5.8%)
"Accelerate
reconstruction
(by 33%)",31.43979230944073,0.0,31 (4.7%),0 (0%)
"Develop market
insurance
(nonpoor people)",29.432211036694287,0.0,29 (4.4%),0 (0%)
"Universal
access to
finance",16.576967977219343,0.0,17 (2.5%),0 (0%)
"Postdisaster
support
package",14.276038501232504,0.0,14 (2.1%),0 (0%)
"Universal
access to early
warnings",13.310457690531134,9.40833068934983,13 (2%),9.4 (1.9%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",11.666251050689459,3.021434288559973,12 (1.7%),3 (0.61%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",10.202171116357206,8.494093600031436,10 (1.5%),8.5 (1.7%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-3.1576379632223843,-4.028579051413178,-3.2 (-0.47%),-4 (-0.82%)
