Austria,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",83.69958932015753,33.69855167948615,84 (6.9%),34 (3.8%)
"Accelerate
reconstruction
(by 33%)",56.92285920010566,0.0,57 (4.7%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",55.14996407009434,46.94897022217405,55 (4.6%),47 (5.3%)
"Develop market
insurance
(nonpoor people)",35.79223379944682,0.0,36 (3%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",29.15410118482065,10.512651688780307,29 (2.4%),11 (1.2%)
"Universal
access to
finance",21.28204065583086,0.0,21 (1.8%),0 (0%)
"Postdisaster
support
package",16.646813311429263,0.0,17 (1.4%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",15.799085899777412,13.944295705796122,16 (1.3%),14 (1.6%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Universal
access to early
warnings",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-14.874608501357317,-14.016868918374062,-15 (-1.2%),-14 (-1.6%)
