Cameroon,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Increase social
transfers to poor
people to at
least 33%",45.55218921256464,0.0,46 (13%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",33.92681874619192,4.739123958180815,34 (9.7%),4.7 (2.9%)
"Accelerate
reconstruction
(by 33%)",30.473001659053264,0.0,30 (8.7%),0 (0%)
"Postdisaster
support
package",17.203926010378837,0.0,17 (4.9%),0 (0%)
"Universal
access to early
warnings",15.802298315647423,6.936145950187087,16 (4.5%),6.9 (4.3%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",15.136764908598304,1.933284939224541,15 (4.3%),1.9 (1.2%)
"Universal
access to
finance",14.92263189717984,0.0,15 (4.3%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",11.460725490228235,9.430352000056237,11 (3.3%),9.4 (5.8%)
"Develop market
insurance
(nonpoor people)",7.153988808790325,0.0,7.2 (2%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",3.0818948308212755,2.5746242123911975,3.1 (0.88%),2.6 (1.6%)
"Increase
income of the
poor 10%",2.9730682758830187,-2.577713252299368,3 (0.85%),-2.6 (-1.6%)
