Kyrgyz Republic,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",26.545989796950906,0.0,27 (9.9%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",21.76155150947234,5.712559612007826,22 (8.1%),5.7 (3.9%)
"Universal
access to
finance",12.81276364583522,0.0,13 (4.8%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",11.365538584877669,7.798797386245131,11 (4.2%),7.8 (5.3%)
"Postdisaster
support
package",7.661310430475562,0.0,7.7 (2.9%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",6.782384279777259,1.716141416713327,6.8 (2.5%),1.7 (1.2%)
"Develop market
insurance
(nonpoor people)",5.423909198113352,0.0,5.4 (2%),0 (0%)
"Universal
access to early
warnings",3.6990890987416503,2.0210187242402133,3.7 (1.4%),2 (1.4%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",3.374601183174789,2.3388291278797984,3.4 (1.3%),2.3 (1.6%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-4.707937281138986,-2.2881885556177197,-4.7 (-1.8%),-2.3 (-1.6%)
