Canada,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",140.43121678087567,0.0,140 (6.8%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",112.1030076768558,87.22320218566513,110 (5.5%),87 (6.1%)
"Universal
access to early
warnings",85.68342232572007,58.98476282254958,86 (4.2%),59 (4.1%)
"Develop market
insurance
(nonpoor people)",70.47054815336966,0.0,70 (3.4%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",69.58256209214734,16.133817426138638,70 (3.4%),16 (1.1%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",33.21167251792693,25.72043921672082,33 (1.6%),26 (1.8%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",24.13328465768051,5.170520412096262,24 (1.2%),5.2 (0.36%)
"Universal
access to
finance",23.659141167541026,0.0,24 (1.2%),0 (0%)
"Postdisaster
support
package",12.296659419066668,0.0,12 (0.6%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-3.3083401716175076,-6.89402721612811,-3.3 (-0.16%),-6.9 (-0.48%)
