Slovak Republic,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",41.626889185018655,13.891139392299115,42 (6.6%),14 (3%)
"Accelerate
reconstruction
(by 33%)",39.20414855765986,0.0,39 (6.3%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",29.476645123959777,24.853118169585944,29 (4.7%),25 (5.4%)
"Universal
access to early
warnings",26.028913918142674,18.745864181026814,26 (4.1%),19 (4.1%)
"Develop market
insurance
(nonpoor people)",22.34577033878219,0.0,22 (3.6%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",11.23004357907629,3.4777877914058566,11 (1.8%),3.5 (0.76%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",9.25376231103313,7.764361693237424,9.3 (1.5%),7.8 (1.7%)
"Postdisaster
support
package",7.298969000275254,5.960464477539062e-14,7.3 (1.2%),0 (0%)
"Universal
access to
finance",6.45392883339107,0.0,6.5 (1%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-3.38667321100533,-4.637050388541042,-3.4 (-0.54%),-4.6 (-1%)
