Sierra Leone,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",6.395132618477001,0.0,6.4 (8.6%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",5.588348199448197,0.9980234879434258,5.6 (7.5%),1 (2.1%)
"Universal
access to early
warnings",3.7773063681399672,2.2821651327644585,3.8 (5.1%),2.3 (4.7%)
"Increase social
transfers to poor
people to at
least 33%",3.6800379270419925,0.0,3.7 (4.9%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",3.286156265302464,2.788523040131986,3.3 (4.4%),2.8 (5.7%)
"Develop market
insurance
(nonpoor people)",3.1931024522823095,0.0,3.2 (4.3%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",1.8272266430752873,0.297099532586582,1.8 (2.4%),0.3 (0.61%)
"Postdisaster
support
package",1.6070494706593303,7.450580596923828e-15,1.6 (2.2%),0 (0%)
"Universal
access to
finance",1.1447637260696142,0.0,1.1 (1.5%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",1.0554889376385213,0.8381687366771251,1.1 (1.4%),0.84 (1.7%)
"Increase
income of the
poor 10%",0.15105445410120485,-0.3961327101154476,0.15 (0.2%),-0.4 (-0.81%)
