Iraq,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",497.4632327088642,0.0,500 (11%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",316.98472713008545,62.15788028738832,320 (7.1%),62 (2.5%)
"Universal
access to early
warnings",261.8383232986264,137.86040355286312,260 (5.9%),140 (5.5%)
"Increase social
transfers to poor
people to at
least 33%",245.97527798764276,0.0,250 (5.5%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",194.39809331992768,144.58050269684028,190 (4.4%),140 (5.8%)
"Develop market
insurance
(nonpoor people)",143.34196907051182,0.0,140 (3.2%),0 (0%)
"Postdisaster
support
package",125.34525900050735,-4.76837158203125e-13,130 (2.8%),-0 (-0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",116.40689481388283,21.465376248961924,120 (2.6%),21 (0.85%)
"Universal
access to
finance",83.88770043024921,0.0,84 (1.9%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",59.031930395317076,41.73546230643654,59 (1.3%),42 (1.7%)
"Increase
income of the
poor 10%",3.246512875502586,-28.620501665282724,3.2 (0.07%),-29 (-1.1%)
