"Congo, Rep.",Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Universal
access to early
warnings",61.97742345804724,29.835621484496563,62 (21%),30 (20%)
"Reduce exposure
of the poor by 5%
of total exposure",34.393539200236226,4.142278248497635,34 (12%),4.1 (2.8%)
"Increase social
transfers to poor
people to at
least 33%",30.7570668354021,0.0,31 (10%),0 (0%)
"Accelerate
reconstruction
(by 33%)",22.974265111366986,0.0,23 (7.7%),0 (0%)
"Postdisaster
support
package",18.15866316619861,2.980232238769531e-14,18 (6.1%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",12.075506133076608,1.3450724951707125,12 (4.1%),1.3 (0.9%)
"Universal
access to
finance",11.573163576065301,0.0,12 (3.9%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",9.497749816257953,8.437186287388146,9.5 (3.2%),8.4 (5.6%)
"Develop market
insurance
(nonpoor people)",6.93499300805527,0.0,6.9 (2.3%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",2.8796799483698603,2.4790181983945367,2.9 (0.97%),2.5 (1.7%)
"Increase
income of the
poor 10%",2.2378497550655005,-1.7934299935609996,2.2 (0.75%),-1.8 (-1.2%)
