Azerbaijan,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",73.17373027576983,0.0,73 (11%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",39.3501503077929,25.23044004864782,39 (5.9%),25 (6.1%)
"Develop market
insurance
(nonpoor people)",18.687978132954118,0.0,19 (2.8%),0 (0%)
"Universal
access to early
warnings",12.293292624840259,7.4873186254290935,12 (1.8%),7.5 (1.8%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",11.871439493997215,7.554688679224074,12 (1.8%),7.6 (1.8%)
"Reduce exposure
of the poor by 5%
of total exposure",11.050533581472038,2.6326350808606147,11 (1.6%),2.6 (0.64%)
"Universal
access to
finance",8.575266460823178,0.0,8.6 (1.3%),0 (0%)
"Postdisaster
support
package",4.93811709448874,0.0,4.9 (0.73%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",3.3524867691658735,0.7958188030050992,3.4 (0.5%),0.8 (0.19%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-0.9908892883439063,-1.061091737340331,-0.99 (-0.15%),-1.1 (-0.26%)
