France,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",428.3445100688734,151.31168186900234,430 (7.1%),150 (3.5%)
"Accelerate
reconstruction
(by 33%)",271.6088513963928,0.0,270 (4.5%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",270.4232738521461,232.45130423880576,270 (4.5%),230 (5.4%)
"Develop market
insurance
(nonpoor people)",176.4913168273821,0.0,180 (2.9%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",151.21623548432254,47.78101250189447,150 (2.5%),48 (1.1%)
"Universal
access to
finance",121.75355826877403,0.0,120 (2%),0 (0%)
"Postdisaster
support
package",99.22691485643291,9.5367431640625e-13,99 (1.6%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",77.18992844092655,68.81844400102138,77 (1.3%),69 (1.6%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Universal
access to early
warnings",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-65.55461479840851,-63.70801666919326,-66 (-1.1%),-64 (-1.5%)
