Ecuador,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",317.3143825808506,31.474327536842345,320 (6.5%),31 (0.98%)
"Accelerate
reconstruction
(by 33%)",271.54912800377656,0.0,270 (5.6%),0 (0%)
"Develop market
insurance
(nonpoor people)",251.0512181187515,0.0,250 (5.2%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",225.56119627525044,194.02908267783354,230 (4.6%),190 (6%)
"Postdisaster
support
package",145.37477421983624,0.0,150 (3%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",111.27719235550403,9.699854852285862,110 (2.3%),9.7 (0.3%)
"Universal
access to
finance",109.89249591966438,0.0,110 (2.3%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",77.07948631453513,0.0,77 (1.6%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",71.88024930640601,57.81178646467018,72 (1.5%),58 (1.8%)
"Universal
access to early
warnings",56.83633006629562,33.361401940986156,57 (1.2%),33 (1%)
"Increase
income of the
poor 10%",27.63534748356819,-12.933139803045272,28 (0.57%),-13 (-0.4%)
