Dominican Republic,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",176.98016954118322,19.223154426812172,180 (7.8%),19 (1.3%)
"Accelerate
reconstruction
(by 33%)",174.61841641640925,0.0,170 (7.7%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",98.15771728057956,85.51036338020897,98 (4.3%),86 (5.9%)
"Increase social
transfers to poor
people to at
least 33%",85.4900061331315,0.0,85 (3.8%),0 (0%)
"Develop market
insurance
(nonpoor people)",69.40787713968562,0.0,69 (3.1%),0 (0%)
"Universal
access to early
warnings",66.09100688220596,40.994623432104106,66 (2.9%),41 (2.8%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",55.89172210781717,5.743774726127386,56 (2.5%),5.7 (0.4%)
"Postdisaster
support
package",55.76653671818733,0.0,56 (2.5%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",29.95261032343292,25.678877574934006,30 (1.3%),26 (1.8%)
"Universal
access to
finance",29.684149765384674,0.0,30 (1.3%),0 (0%)
"Increase
income of the
poor 10%",14.728285382786273,-7.6583663015031815,15 (0.65%),-7.7 (-0.53%)
