Cambodia,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Universal
access to early
warnings",337.960757147321,168.91389925366556,340 (21%),170 (20%)
"Reduce exposure
of the poor by 5%
of total exposure",269.5189453588438,54.54024398339045,270 (17%),55 (6.5%)
"Increase social
transfers to poor
people to at
least 33%",251.18333582075167,0.0,250 (16%),0 (0%)
"Accelerate
reconstruction
(by 33%)",149.43557511462734,0.0,150 (9.3%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",66.37059001667141,12.27172361917591,66 (4.1%),12 (1.5%)
"Universal
access to
finance",47.892392476812596,0.0,48 (3%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",47.01621226697612,40.05577452191925,47 (2.9%),40 (4.7%)
"Postdisaster
support
package",36.028475285768984,0.0,36 (2.2%),0 (0%)
"Develop market
insurance
(nonpoor people)",34.24778445307755,0.0,34 (2.1%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",15.37796321975565,12.767747150237321,15 (0.96%),13 (1.5%)
"Increase
income of the
poor 10%",14.278477747807502,-16.362298158900618,14 (0.89%),-16 (-1.9%)
