"Iran, Islamic Rep.",Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",1644.8653399706247,260.569374345355,1600 (11%),260 (3.2%)
"Accelerate
reconstruction
(by 33%)",987.4883989119929,0.0,990 (6.7%),0 (0%)
"Postdisaster
support
package",614.4611332647438,9.5367431640625e-13,610 (4.2%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",609.3726619453487,0.0,610 (4.1%),0 (0%)
"Universal
access to
finance",588.2462857874355,0.0,590 (4%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",548.3794537154694,78.80655598558808,550 (3.7%),79 (0.97%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",510.2114098765163,443.6198707533293,510 (3.5%),440 (5.5%)
"Develop market
insurance
(nonpoor people)",382.20774136533737,0.0,380 (2.6%),0 (0%)
"Universal
access to early
warnings",200.95232386021422,103.35499315778827,200 (1.4%),100 (1.3%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",154.2370655102081,132.8153725097065,150 (1%),130 (1.6%)
"Increase
income of the
poor 10%",16.713668779964447,-105.07540798078728,17 (0.11%),-110 (-1.3%)
