Indonesia,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",883.5564066638927,189.97396814264107,880 (7.9%),190 (2.5%)
"Accelerate
reconstruction
(by 33%)",713.4530161895351,0.0,710 (6.3%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",486.0102935865917,435.20763834346195,490 (4.3%),440 (5.6%)
"Increase social
transfers to poor
people to at
least 33%",363.4067966008625,0.0,360 (3.2%),0 (0%)
"Develop market
insurance
(nonpoor people)",349.7949880621414,0.0,350 (3.1%),0 (0%)
"Universal
access to early
warnings",339.02468072119905,228.97211437099074,340 (3%),230 (3%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",276.41562892510984,56.0823730842514,280 (2.5%),56 (0.72%)
"Postdisaster
support
package",198.83130440324973,9.5367431640625e-13,200 (1.8%),0 (0%)
"Universal
access to
finance",190.5078185470047,0.0,190 (1.7%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",147.07335675321198,131.08336218946744,150 (1.3%),130 (1.7%)
"Increase
income of the
poor 10%",8.937174253665924,-74.77649744567013,8.9 (0.08%),-75 (-0.97%)
