Turkey,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",1019.8183414328012,151.64592890713308,1000 (12%),150 (3.7%)
"Accelerate
reconstruction
(by 33%)",729.2292629811201,0.0,730 (8.6%),0 (0%)
"Universal
access to
finance",423.76623475940323,0.0,420 (5%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",344.56867491755867,45.798732264808656,340 (4.1%),46 (1.1%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",279.3582016166687,218.43426659659002,280 (3.3%),220 (5.3%)
"Increase social
transfers to poor
people to at
least 33%",277.5730389217033,0.0,280 (3.3%),0 (0%)
"Postdisaster
support
package",210.770918179265,-4.76837158203125e-13,210 (2.5%),-0 (-0%)
"Develop market
insurance
(nonpoor people)",165.41359337759113,0.0,170 (1.9%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",79.23354352250576,65.42046444544935,79 (0.93%),65 (1.6%)
"Universal
access to early
warnings",34.43913456391907,15.702679232338905,34 (0.41%),16 (0.38%)
"Increase
income of the
poor 10%",-1.5430713773889542,-61.06497635307979,-1.5 (-0.02%),-61 (-1.5%)
