Tajikistan,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",47.34541541630625,11.500904036441266,47 (11%),12 (4.7%)
"Accelerate
reconstruction
(by 33%)",33.735368846009074,0.0,34 (7.7%),0 (0%)
"Universal
access to
finance",18.724743247472404,0.0,19 (4.3%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",15.355547051854431,12.473923212863982,15 (3.5%),12 (5.1%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",15.036894988013445,3.5007963707354066,15 (3.5%),3.5 (1.4%)
"Universal
access to early
warnings",14.865809668280184,8.174334434066832,15 (3.4%),8.2 (3.3%)
"Postdisaster
support
package",14.272322937680482,0.0,14 (3.3%),0 (0%)
"Develop market
insurance
(nonpoor people)",9.064667416765511,0.0,9.1 (2.1%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",4.573549561894477,3.7284770198873876,4.6 (1%),3.7 (1.5%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-3.64167631144762,-4.667728494313955,-3.6 (-0.84%),-4.7 (-1.9%)
