Honduras,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",247.3982282053666,9.933035369956851,250 (11%),9.9 (0.99%)
"Accelerate
reconstruction
(by 33%)",165.19201920391225,0.0,170 (7.6%),0 (0%)
"Postdisaster
support
package",120.89504573513793,0.0,120 (5.6%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",109.34296365922475,0.0,110 (5.1%),0 (0%)
"Universal
access to
finance",86.9123105292561,0.0,87 (4%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",82.49101188727403,3.0282872854269742,82 (3.8%),3 (0.3%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",72.8304924152255,60.40927296642172,73 (3.4%),60 (6%)
"Develop market
insurance
(nonpoor people)",53.31408802571392,0.0,53 (2.5%),0 (0%)
"Universal
access to early
warnings",45.36074180436444,19.199087292763114,45 (2.1%),19 (1.9%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",22.299936555755615,18.04922935480976,22 (1%),18 (1.8%)
"Increase
income of the
poor 10%",21.32322413924694,-4.037716380569458,21 (0.99%),-4 (-0.4%)
