Angola,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Postdisaster
support
package",182.57576696308934,0.0,180 (24%),0 (0%)
"Universal
access to early
warnings",160.32511092396163,46.001505647370216,160 (21%),46 (19%)
"Increase social
transfers to poor
people to at
least 33%",156.74367484846388,0.0,160 (20%),0 (0%)
"Accelerate
reconstruction
(by 33%)",68.99074286189615,0.0,69 (9%),0 (0%)
"Universal
access to
finance",51.63176785023856,0.0,52 (6.7%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",49.709723916596886,5.2108897015419,50 (6.5%),5.2 (2.2%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",44.75066696059477,4.32887655517754,45 (5.8%),4.3 (1.8%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",24.385094005197047,20.394894032124906,24 (3.2%),20 (8.5%)
"Develop market
insurance
(nonpoor people)",12.305356884318947,0.0,12 (1.6%),0 (0%)
"Increase
income of the
poor 10%",10.168447188170314,-5.771835406903386,10 (1.3%),-5.8 (-2.4%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",4.349755202127099,3.4123892639684974,4.3 (0.57%),3.4 (1.4%)
