Bolivia,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",61.71944920482957,3.9420576303664445,62 (9.6%),3.9 (1.2%)
"Accelerate
reconstruction
(by 33%)",54.96785371411455,0.0,55 (8.6%),0 (0%)
"Postdisaster
support
package",30.090224826629758,0.0,30 (4.7%),0 (0%)
"Universal
access to early
warnings",25.603114361754177,11.979930675495742,26 (4%),12 (3.8%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",24.374376546076057,18.88117432188177,24 (3.8%),19 (6%)
"Universal
access to
finance",22.65249023169553,0.0,23 (3.5%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",20.69481567260468,1.2266049950388669,21 (3.2%),1.2 (0.39%)
"Develop market
insurance
(nonpoor people)",15.331798658686042,0.0,15 (2.4%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",7.29711665560019,5.611680594274759,7.3 (1.1%),5.6 (1.8%)
"Increase
income of the
poor 10%",2.9651183311794993,-1.6354733267183899,3 (0.46%),-1.6 (-0.52%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
