Italy,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",1505.4873288228855,382.5726620295086,1500 (8.6%),380 (3.2%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",734.7276798847217,642.1945639897099,730 (4.2%),640 (5.4%)
"Accelerate
reconstruction
(by 33%)",726.4715279491043,0.0,730 (4.1%),0 (0%)
"Universal
access to
finance",623.6905576740112,0.0,620 (3.5%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",522.1942526639614,115.16587752834128,520 (3%),120 (0.98%)
"Develop market
insurance
(nonpoor people)",504.86570719771385,0.0,500 (2.9%),0 (0%)
"Postdisaster
support
package",455.6837092967701,0.0,460 (2.6%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",209.42885185940932,192.49299189411354,210 (1.2%),190 (1.6%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Universal
access to early
warnings",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-127.46383232390593,-153.55450337112998,-130 (-0.72%),-150 (-1.3%)
