Thailand,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",1719.411088190134,535.7496251467924,1700 (14%),540 (8.8%)
"Postdisaster
support
package",710.3371354064636,0.0,710 (5.9%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",632.0866930232372,173.83094029823016,630 (5.3%),170 (2.8%)
"Accelerate
reconstruction
(by 33%)",608.8653441139621,0.0,610 (5.1%),0 (0%)
"Universal
access to early
warnings",582.4928551125831,286.0421282729597,580 (4.9%),290 (4.7%)
"Universal
access to
finance",525.3967859757881,0.0,530 (4.4%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",484.607390835783,0.0,480 (4.1%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",300.15816486326406,241.75326848160458,300 (2.5%),240 (4%)
"Develop market
insurance
(nonpoor people)",157.39328167147445,0.0,160 (1.3%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",74.85893087939453,71.04747690140724,75 (0.63%),71 (1.2%)
"Increase
income of the
poor 10%",-196.01389123477745,-231.77458706430815,-200 (-1.6%),-230 (-3.8%)
