Colombia,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Increase social
transfers to poor
people to at
least 33%",2681.7930851659353,0.0,2700 (15%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",2341.526630914074,145.36835455977726,2300 (13%),150 (1.8%)
"Accelerate
reconstruction
(by 33%)",1076.5577487053547,0.0,1100 (6.1%),0 (0%)
"Universal
access to
finance",881.4741553155936,0.0,880 (5%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",828.2498109973011,45.28851647059345,830 (4.7%),45 (0.57%)
"Postdisaster
support
package",751.3410332828331,1.9073486328125e-12,750 (4.3%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",513.0297758563461,465.0989357533655,510 (2.9%),470 (5.8%)
"Develop market
insurance
(nonpoor people)",369.08270246020504,0.0,370 (2.1%),0 (0%)
"Increase
income of the
poor 10%",268.1974569468498,-60.384688627457614,270 (1.5%),-60 (-0.76%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",144.61661434163284,138.1875029265604,140 (0.82%),140 (1.7%)
"Universal
access to early
warnings",135.38635101851273,51.468987215394016,140 (0.77%),51 (0.65%)
