Senegal,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Universal
access to early
warnings",6.408020658887319,4.502564788392961,6.4 (9.3%),4.5 (8.6%)
"Reduce exposure
of the poor by 5%
of total exposure",5.398018180150807,0.876557477402605,5.4 (7.8%),0.88 (1.7%)
"Develop market
insurance
(nonpoor people)",4.093511747593372,0.0,4.1 (6%),0 (0%)
"Accelerate
reconstruction
(by 33%)",3.3168768794406724,0.0,3.3 (4.8%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",3.097261236531168,2.9443629577447323,3.1 (4.5%),2.9 (5.6%)
"Increase social
transfers to poor
people to at
least 33%",1.55270220507057,0.0,1.6 (2.3%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",1.4264600128041058,0.20116320199494808,1.4 (2.1%),0.2 (0.38%)
"Postdisaster
support
package",1.2868118296020776,0.0,1.3 (1.9%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",1.0627079817785918,0.9352089435991123,1.1 (1.5%),0.94 (1.8%)
"Universal
access to
finance",0.9693123564357906,0.0,0.97 (1.4%),0 (0%)
"Increase
income of the
poor 10%",0.1622541846472621,-0.2682176026599407,0.16 (0.24%),-0.27 (-0.51%)
