Albania,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Reduce exposure
of the poor by 5%
of total exposure",40.15339826637667,10.525434449772298,40 (9.7%),11 (3.7%)
"Universal
access to early
warnings",32.81865145139706,21.295638243066072,33 (7.9%),21 (7.5%)
"Postdisaster
support
package",20.154115434439717,0.0,20 (4.9%),0 (0%)
"Develop market
insurance
(nonpoor people)",17.46798361542648,0.0,17 (4.2%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",15.957933194515704,15.152222898749649,16 (3.9%),15 (5.3%)
"Accelerate
reconstruction
(by 33%)",15.364623718211174,0.0,15 (3.7%),0 (0%)
"Increase social
transfers to poor
people to at
least 33%",15.268668808797775,0.0,15 (3.7%),0 (0%)
"Universal
access to
finance",14.262405056550264,0.0,14 (3.5%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",13.401332012283861,3.0743127236962913,13 (3.2%),3.1 (1.1%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",5.127256865166366,4.575652496889293,5.1 (1.2%),4.6 (1.6%)
"Increase
income of the
poor 10%",-1.2242815882074833,-4.099083631595135,-1.2 (-0.3%),-4.1 (-1.4%)
