Benin,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Increase social
transfers to poor
people to at
least 33%",15.312748786144509,0.0,15 (16%),0 (0%)
"Universal
access to early
warnings",13.267787739266574,6.070872058278374,13 (14%),6.1 (13%)
"Postdisaster
support
package",9.556065357109695,0.0,9.6 (10%),0 (0%)
"Accelerate
reconstruction
(by 33%)",6.848472326400965,0.0,6.8 (7.3%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",6.597587427153095,0.8957770189305841,6.6 (7%),0.9 (1.9%)
"Universal
access to
finance",4.14265178402701,0.0,4.1 (4.4%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",4.0816331156443955,0.4921311368112117,4.1 (4.3%),0.49 (1%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",3.6284459127905664,3.1991687127326727,3.6 (3.9%),3.2 (6.8%)
"Develop market
insurance
(nonpoor people)",3.1629389147104323,0.0,3.2 (3.4%),0 (0%)
"Increase
income of the
poor 10%",1.1502318540060519,-0.656174849081628,1.2 (1.2%),-0.66 (-1.4%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",0.9214469083989412,0.7602902635931075,0.92 (0.98%),0.76 (1.6%)
