Latvia,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Universal
access to early
warnings",88.52392505682582,56.5886529340029,89 (20%),57 (20%)
"Reduce exposure
of the poor by 5%
of total exposure",39.75772038201272,7.12012536289364,40 (9.1%),7.1 (2.5%)
"Accelerate
reconstruction
(by 33%)",20.62408903387189,0.0,21 (4.7%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",18.179360288052738,15.566950717080145,18 (4.2%),16 (5.5%)
"Universal
access to
finance",16.16367287920755,0.0,16 (3.7%),0 (0%)
"Postdisaster
support
package",14.689129704018175,5.960464477539062e-14,15 (3.4%),0 (0%)
"Develop market
insurance
(nonpoor people)",11.922886803469776,0.0,12 (2.7%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",10.342629536177993,1.795183003293991,10 (2.4%),1.8 (0.63%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",5.741956912390887,4.856390461739301,5.7 (1.3%),4.9 (1.7%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-3.4833447343063355,-2.3935773377252816,-3.5 (-0.8%),-2.4 (-0.85%)
