Uzbekistan,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Accelerate
reconstruction
(by 33%)",107.58942560827184,0.0,110 (13%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",92.08643054526638,15.10434380975443,92 (11%),15 (4%)
"Universal
access to early
warnings",39.075493317449926,16.639386939970493,39 (4.6%),17 (4.4%)
"Universal
access to
finance",38.311181956203576,0.0,38 (4.5%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",30.197958517509818,19.76216878476149,30 (3.5%),20 (5.3%)
"Postdisaster
support
package",29.40364848849046,1.1920928955078124e-13,29 (3.4%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",28.703696673034905,4.61465286857295,29 (3.4%),4.6 (1.2%)
"Develop market
insurance
(nonpoor people)",13.732249825904846,0.0,14 (1.6%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",9.075399285281778,5.901387429440498,9.1 (1.1%),5.9 (1.6%)
"Increase social
transfers to poor
people to at
least 33%",-1.8000602722167967e-11,0.0,-0 (-0%),0 (0%)
"Increase
income of the
poor 10%",-6.8821899026652575,-6.152870491430819,-6.9 (-0.8%),-6.2 (-1.6%)
