Burkina Faso,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Universal
access to early
warnings",8.567857430766225,5.823250484474458,8.6 (9.4%),5.8 (9.1%)
"Accelerate
reconstruction
(by 33%)",7.464240384430229,0.0,7.5 (8.2%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",4.658496340854079,3.5932902969856038,4.7 (5.1%),3.6 (5.6%)
"Reduce exposure
of the poor by 5%
of total exposure",4.036956892290965,0.8039865075238197,4 (4.4%),0.8 (1.3%)
"Develop market
insurance
(nonpoor people)",3.7636475173892974,0.0,3.8 (4.1%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",1.5473449132886379,1.1588361207778752,1.5 (1.7%),1.2 (1.8%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",0.8957911327450573,0.16883716658000647,0.9 (0.98%),0.17 (0.26%)
"Postdisaster
support
package",0.6402558632100671,-7.450580596923828e-15,0.64 (0.7%),-0 (-0%)
"Universal
access to
finance",0.4494351721803993,0.0,0.45 (0.49%),0 (0%)
"Increase
income of the
poor 10%",0.2211687137798965,-0.22511622210668772,0.22 (0.24%),-0.23 (-0.35%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
