Lithuania,Wellbeing losses value,Asset losses value,Wellbeing losses  label,Asset losses label
"Universal
access to early
warnings",58.22137558931422,40.443392061423005,58 (20%),40 (20%)
"Accelerate
reconstruction
(by 33%)",18.038359588118254,0.0,18 (6.3%),0 (0%)
"Reduce
exposure of the nonpoor by 5%
of total exposure",16.080546808033287,12.390461169428884,16 (5.6%),12 (6.1%)
"Develop market
insurance
(nonpoor people)",9.79304592670387,0.0,9.8 (3.4%),0 (0%)
"Reduce exposure
of the poor by 5%
of total exposure",8.237878237917185,1.8651972892633377,8.2 (2.9%),1.9 (0.92%)
"Universal
access to
finance",5.731613400473893,0.0,5.7 (2%),0 (0%)
"Postdisaster
support
package",5.466863746102988,0.0,5.5 (1.9%),0 (0%)
"Reduce asset
vulnerability
(by 30%) of
nonpoor people
(5% of the population)",4.797785670352339,3.640077922328323,4.8 (1.7%),3.6 (1.8%)
"Reduce asset
vulnerability
(by 30%) of
poor people
(5% of the population)",2.709150868278682,0.6059603337202668,2.7 (0.94%),0.61 (0.3%)
"Increase social
transfers to poor
people to at
least 33%",0.0,0.0,0 (0%),0 (0%)
"Increase
income of the
poor 10%",-1.2502576060608028,-0.8079471116272211,-1.3 (-0.44%),-0.81 (-0.4%)
